----------------- start log sensor -----------------
Receive dvl data sequenc is 0
Receive dvl data sequenc is 1
Receive dvl data sequenc is 2
Receive dvl data sequenc is 3
Receive dvl data sequenc is 4
Receive dvl data sequenc is 5
Receive dvl data sequenc is 6
Receive dvl data sequenc is 7
Receive dvl data sequenc is 8
Receive dvl data sequenc is 9
Receive dvl data sequenc is 10
Receive dvl data sequenc is 11
Receive dvl data sequenc is 12
Receive dvl data sequenc is 13
Receive dvl data sequenc is 14
Receive dvl data sequenc is 15
Receive dvl data sequenc is 16
Receive dvl data sequenc is 17
Receive dvl data sequenc is 18
Receive dvl data sequenc is 19
Receive dvl data sequenc is 20
Receive dvl data sequenc is 21
Receive dvl data sequenc is 22
Receive dvl data sequenc is 23
Receive dvl data sequenc is 24
Receive dvl data sequenc is 25
Receive dvl data sequenc is 26
Receive dvl data sequenc is 27
Receive dvl data sequenc is 28
Receive dvl data sequenc is 29
Receive dvl data sequenc is 30
Receive dvl data sequenc is 31
Receive dvl data sequenc is 32
Receive dvl data sequenc is 33
Receive dvl data sequenc is 34
Receive dvl data sequenc is 35
Receive dvl data sequenc is 36
Receive dvl data sequenc is 37
Receive dvl data sequenc is 38
Receive dvl data sequenc is 39
Receive dvl data sequenc is 40
Receive dvl data sequenc is 41
Receive dvl data sequenc is 42
Receive dvl data sequenc is 43
Receive dvl data sequenc is 44
Receive dvl data sequenc is 45
Receive dvl data sequenc is 46
Receive dvl data sequenc is 47
Receive dvl data sequenc is 48
Receive dvl data sequenc is 49
Receive dvl data sequenc is 50
Receive dvl data sequenc is 51
Receive dvl data sequenc is 52
Receive dvl data sequenc is 53
Receive dvl data sequenc is 54
Receive dvl data sequenc is 55
Receive dvl data sequenc is 56
Receive dvl data sequenc is 57
Receive dvl data sequenc is 58
Receive dvl data sequenc is 59
Receive dvl data sequenc is 60
Receive dvl data sequenc is 61
Receive dvl data sequenc is 62
Receive dvl data sequenc is 63
Receive dvl data sequenc is 64
Receive dvl data sequenc is 65
Receive dvl data sequenc is 66
Receive dvl data sequenc is 67
Receive dvl data sequenc is 68
Receive dvl data sequenc is 69
Receive dvl data sequenc is 70
Receive dvl data sequenc is 71
Receive dvl data sequenc is 72
Receive dvl data sequenc is 73
Receive dvl data sequenc is 74
Receive dvl data sequenc is 75
Receive dvl data sequenc is 76
Receive dvl data sequenc is 77
Receive dvl data sequenc is 78
Receive dvl data sequenc is 79
Receive dvl data sequenc is 80
Receive dvl data sequenc is 81
Receive dvl data sequenc is 82
Receive dvl data sequenc is 83
Receive dvl data sequenc is 84
Receive dvl data sequenc is 85
Receive dvl data sequenc is 86
Receive dvl data sequenc is 87
Receive dvl data sequenc is 88
Receive dvl data sequenc is 89
Receive dvl data sequenc is 90
Receive dvl data sequenc is 91
Receive dvl data sequenc is 92
Receive dvl data sequenc is 93
Receive dvl data sequenc is 94
Receive dvl data sequenc is 95
Receive dvl data sequenc is 96
Receive dvl data sequenc is 97
Receive dvl data sequenc is 98
Receive dvl data sequenc is 99
Receive dvl data sequenc is 100
Receive dvl data sequenc is 101
Receive dvl data sequenc is 102
Receive dvl data sequenc is 103
Receive dvl data sequenc is 104
Receive dvl data sequenc is 105
Receive dvl data sequenc is 106
Receive dvl data sequenc is 107
Receive dvl data sequenc is 108
Receive dvl data sequenc is 109
Receive dvl data sequenc is 110
Receive dvl data sequenc is 111
Receive dvl data sequenc is 112
Receive dvl data sequenc is 113
Receive dvl data sequenc is 114
Receive dvl data sequenc is 115
Receive dvl data sequenc is 116
Receive dvl data sequenc is 117
Receive dvl data sequenc is 118
Receive dvl data sequenc is 119
Receive dvl data sequenc is 120
Receive dvl data sequenc is 121
Receive dvl data sequenc is 122
Receive dvl data sequenc is 123
Receive dvl data sequenc is 124
Receive dvl data sequenc is 125
Receive dvl data sequenc is 126
Receive dvl data sequenc is 127
Receive dvl data sequenc is 128
Receive dvl data sequenc is 129
Receive dvl data sequenc is 130
Receive dvl data sequenc is 131
Receive dvl data sequenc is 132
Receive dvl data sequenc is 133
Receive dvl data sequenc is 134
Receive dvl data sequenc is 135
Receive dvl data sequenc is 136
Receive dvl data sequenc is 137
Receive dvl data sequenc is 138
Receive dvl data sequenc is 139
Receive dvl data sequenc is 140
Receive dvl data sequenc is 141
Receive dvl data sequenc is 142
Receive dvl data sequenc is 143
Receive dvl data sequenc is 144
Receive dvl data sequenc is 145
Receive dvl data sequenc is 146
Receive dvl data sequenc is 147
Receive dvl data sequenc is 148
Receive dvl data sequenc is 149
Receive dvl data sequenc is 150
Receive dvl data sequenc is 151
Receive dvl data sequenc is 152
Receive dvl data sequenc is 153
Receive dvl data sequenc is 154
Receive dvl data sequenc is 155
Receive dvl data sequenc is 156
Receive dvl data sequenc is 157
Receive dvl data sequenc is 158
Receive dvl data sequenc is 159
Receive dvl data sequenc is 160
Receive dvl data sequenc is 161
Receive dvl data sequenc is 162
Receive dvl data sequenc is 163
Receive dvl data sequenc is 164
Receive dvl data sequenc is 165
Receive dvl data sequenc is 166
Receive dvl data sequenc is 167
Receive dvl data sequenc is 168
Receive dvl data sequenc is 169
Receive dvl data sequenc is 170
